index,Country,2010,2011,2012,2013,2014,2015,2016,2017,Country_Code
168,Russian Federation,11.2,11.2,0.0,2.1,2.3,2.2,2.2,2.2,RUS
169,Russian Federation,11.2,11.2,0.0,2.1,2.3,2.2,2.2,2.2,RUS
170,Russian Federation,11.2,11.2,0.0,2.1,2.3,2.2,2.2,2.2,RUS
171,Russian Federation,11.2,11.2,0.0,2.1,2.3,2.2,2.2,2.2,RUS
172,Rwanda,30.7,30.7,29.4,29.4,29.4,29.3,29.3,29.3,RWA
173,Saint Lucia,0.0,0.0,0.0,0.0,9.2,9.2,9.2,12.6,LCA
174,Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,WSM
175,Sao Tome and Principe,22.7,19.1,20.0,20.0,21.4,21.4,18.3,18.3,STP
176,Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,16.4,16.2,SAU
177,Senegal,47.3,45.1,44.6,44.6,44.7,44.7,45.3,46.5,SEN
178,Serbia,11.1,9.9,9.9,10.7,8.1,8.1,9.3,8.1,SRB
179,Sierra Leone,48.2,47.4,47.4,48.7,49.6,47.3,47.3,47.3,SLE
180,Singapore,0.0,0.0,0.0,0.0,0.0,0.0,8.8,8.2,SGP
181,Slovakia,1.7,1.6,1.5,1.5,1.5,1.4,1.6,1.4,SVK
182,Slovenia,4.0,3.1,3.3,2.7,2.6,2.6,2.2,2.2,SVN
183,Solomon Islands,30.2,0.0,0.0,22.8,22.8,22.8,0.0,0.0,SLB
184,Somalia,0.0,0.0,0.0,0.0,43.5,43.5,0.0,0.0,SOM
185,South Africa,20.8,20.8,20.8,18.1,16.1,13.8,14.3,14.3,ZAF
186,South Sudan,0.0,0.0,0.0,0.0,39.6,39.6,39.6,39.6,SSD
187,Spain,5.7,5.5,5.5,5.4,5.2,5.1,19.2,18.6,ESP
188,Sri Lanka,17.9,17.9,14.6,14.6,12.8,12.8,12.8,12.8,LKA
189,Sudan,0.0,0.0,0.0,0.0,42.7,42.7,42.5,42.5,SDN
190,Suriname,20.1,20.1,20.1,19.5,19.0,19.0,15.2,15.6,SUR
191,Sweden,3.6,3.9,3.8,3.6,3.5,3.4,3.5,3.7,SWE
192,Switzerland,2.0,2.0,2.0,5.8,5.7,5.7,2.4,2.4,CHE
193,Syrian Arab Republic,31.5,31.5,31.5,31.5,31.5,31.5,31.5,0.0,SYR
194,Tajikistan,9.4,9.4,12.2,12.2,6.5,6.5,6.5,6.5,TJK
195,Tanzania (United Republic of),28.7,32.8,28.3,29.5,28.5,28.5,27.0,27.0,TZA
196,Thailand,18.0,18.0,18.0,16.1,16.1,16.1,16.6,13.3,THA
197,The former Yugoslav Republic of Macedonia,17.5,17.5,12.3,10.6,10.6,10.6,10.5,10.5,0
198,Timor-Leste,44.3,47.4,47.6,47.6,47.6,47.6,47.6,44.9,TLS
199,Togo,41.5,41.5,41.5,37.6,38.9,38.9,38.9,38.9,TGO
200,Tonga,5.1,0.0,0.0,0.0,0.0,0.0,0.0,4.5,TON
201,Trinidad and Tobago,6.6,6.6,6.6,6.6,6.6,6.6,6.6,0.0,TTO
202,Tunisia,38.7,38.7,0.0,0.0,34.6,34.6,34.6,34.6,TUN
203,Turkey,27.4,27.4,27.4,14.1,14.2,14.2,14.2,13.5,TUR
204,Turkey,27.4,27.4,27.4,14.1,14.2,14.2,14.2,13.5,TUR
205,Turkey,27.4,27.4,27.4,14.1,14.2,14.2,14.2,13.5,TUR
206,Turkey,27.4,27.4,27.4,14.1,14.2,14.2,14.2,13.5,TUR
207,Turkmenistan,10.2,0.0,0.0,0.0,0.0,0.0,3.6,3.6,TKM
208,Tuvalu,0.0,0.0,0.0,10.5,10.5,10.5,10.5,10.5,TUV
209,Uganda,28.2,32.2,32.2,31.2,29.4,29.4,29.4,27.9,UGA
210,Ukraine,2.8,6.1,6.1,6.1,3.6,3.6,3.6,3.6,UKR
211,United Kingdom,2.1,2.2,2.6,2.6,2.8,2.8,8.7,3.7,GBR
212,United States,3.2,3.7,5.3,6.7,5.3,5.6,5.6,5.5,USA
213,Uruguay,10.8,10.8,10.8,10.9,9.2,10.4,7.4,7.4,URY
214,Uzbekistan,1.4,1.4,1.4,1.4,1.4,1.4,1.3,0.8,UZB
215,Vanuatu,0.0,0.0,0.0,0.0,17.5,17.5,17.5,17.5,VUT
216,Venezuela (Bolivarian Republic of),17.0,18.1,18.1,17.6,17.6,17.6,14.5,12.9,VEN
217,Viet Nam,17.1,17.1,17.1,18.0,18.0,17.6,17.6,17.6,VNM
218,Yemen,49.8,49.8,49.8,47.2,48.1,48.1,46.1,46.1,YEM
219,Zambia,24.2,23.8,23.8,23.8,21.7,21.7,21.7,21.7,ZMB
220,Zimbabwe,20.1,20.1,17.8,17.8,17.4,17.4,16.8,16.8,ZWE
221,Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATG
222,Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRN
223,Dominica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DMA
224,Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ERI
225,Grenada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRD
226,Korea (Democratic People's Rep. of),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PRK
227,Libya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LBY
228,Liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIE
229,Marshall Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MHL
230,Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MCO
231,Nauru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NRU
232,Oman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OMN
233,Saint Kitts and Nevis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KNA
234,Saint Vincent and the Grenadines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCT
235,San Marino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMR
236,Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SYC
237,United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARE
0,Afghanistan,0.0,0.0,0.0,10.8,10.8,10.8,10.8,10.8,AFG
1,Albania,14.4,18.3,18.3,18.3,18.3,18.3,18.3,12.2,ALB
2,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,DZA
3,Angola,36.4,50.0,50.0,50.0,28.9,28.9,28.9,28.9,AGO
4,Argentina,34.4,34.4,34.4,28.1,26.3,27.4,26.5,25.8,ARG
5,Armenia,10.8,10.8,13.9,14.3,13.9,13.9,13.9,17.4,ARM
6,Armenia,10.8,10.8,13.9,14.3,13.9,13.9,13.9,17.4,ARM
7,Armenia,10.8,10.8,13.9,14.3,13.9,13.9,13.9,17.4,ARM
8,Armenia,10.8,10.8,13.9,14.3,13.9,13.9,13.9,17.4,ARM
9,Australia,16.6,16.6,16.6,16.6,17.7,17.7,17.7,17.7,AUS
10,Austria,15.1,15.1,12.7,13.8,15.5,17.5,16.5,17.7,AUT
