Madagascar,MDG,23.5,23,22.4,22.1,21.6,21.5,21.5,21.5,21.5,21.4
Malawi,MWI,41.3,39.6,37.8,36.1,34.3,34.1,34,33.8,33.6,33.4
Malaysia,MYS,68.1,66.9,65.7,63.6,67.3,67.4,67.4,67.5,67.5,67.6
Maldives,MDV,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
Mali,MLI,5.5,5.2,4.8,4.5,4.2,4.1,4.1,4,3.9,3.9
Malta,MLT,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
Marshall Islands,MHL,0,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2
Mauritania,MRT,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2
Mauritius,MUS,20.2,20.4,20.6,18.8,18.9,18.9,19,19,19,19
Mexico,MEX,35.9,35.4,34.9,34.5,34.2,34.2,34.1,34.1,34,34
Micronesia (Federated States of),FSM,0,91,91.2,91.4,91.6,91.7,91.7,91.7,91.8,91.8
Moldova (Republic of),MDA,9.7,9.8,9.9,11,11.8,11.9,12,12.2,12.3,12.4
Mongolia,MNG,8.1,7.8,7.5,7.3,8.4,8.3,8.3,8.2,8.1,8.1
Montenegro,MNE,46.5,46.5,46.5,46.5,61.5,61.5,61.5,61.5,61.5,61.5
Morocco,MAR,11.1,11.1,11.2,12.1,12.7,12.7,12.7,12.7,12.6,12.6
Mozambique,MOZ,55.2,53.8,52.4,51,49.6,49.3,49,48.8,48.5,48.2
Myanmar,MMR,60,56.7,53.4,51,48.6,47.8,47,46.1,45.3,44.5
Namibia,NAM,10.6,10.2,9.8,9.3,8.9,8.8,8.7,8.6,8.5,8.4
Nauru,NRU,0,0,0,0,0,0,0,0,0,0
Nepal,NPL,33.7,30.5,27.2,25.4,25.4,25.4,25.4,25.4,25.4,25.4
Netherlands,NLD,10.2,10.4,10.7,10.8,11.1,11.1,11.1,11.1,11.1,11.2
New Zealand,NZL,36.7,37.6,38.5,38.7,38.6,38.6,38.6,38.6,38.6,38.6
Nicaragua,NIC,37.5,34.6,31.7,28.8,25.9,25.9,25.9,25.9,25.9,25.9
Niger,NER,1.5,1.3,1,1,1,0.9,0.9,0.9,0.9,0.9
Nigeria,NGA,18.9,16.7,14.4,12.2,9.9,9.5,9,8.6,8.1,7.7
Norway,NOR,33.2,33.2,33.2,33.1,33.1,33.1,33.1,33.1,33.2,33.2
Oman,OMN,0,0,0,0,0,0,0,0,0,0
Pakistan,PAK,3.3,3,2.7,2.5,2.2,2.1,2.1,2,2,1.9
Palau,PLW,0,84.5,86.1,87.6,87.6,87.6,87.6,87.6,87.6,87.6
"Palestine, State of",,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Panama,PAN,67.8,66.6,65.5,64.3,63.2,63,62.8,62.5,62.3,62.1
Papua New Guinea,PNG,74.3,74.2,74.2,74.2,74.1,74.1,74.1,74.1,74.1,74.1
Paraguay,PRY,53.3,51,48.7,46.5,42.7,41.8,41,40.2,39.4,38.6
Peru,PER,60.9,60.2,59.5,59,58.4,58.3,58.2,58.1,57.9,57.8
Philippines,PHL,22,22.8,23.6,23.7,22.9,23.7,24.6,25.4,26.2,27
Poland,POL,29,29.3,29.6,30,30.5,30.5,30.6,30.7,30.7,30.8
Portugal,PRT,37.6,37,36.5,36,35.4,35.2,35.1,35,34.9,34.7
Qatar,QAT,0,0,0,0,0,0,0,0,0,0
Romania,ROU,27.8,27.8,27.7,27.8,28.3,28.6,28.9,29.2,29.5,29.8
Russian Federation,RUS,49.4,49.4,49.4,49.4,49.8,49.8,49.8,49.8,49.8,49.8
Russian Federation,RUS,49.4,49.4,49.4,49.4,49.8,49.8,49.8,49.8,49.8,49.8
Russian Federation,RUS,49.4,49.4,49.4,49.4,49.8,49.8,49.8,49.8,49.8,49.8
Russian Federation,RUS,49.4,49.4,49.4,49.4,49.8,49.8,49.8,49.8,49.8,49.8
Rwanda,RWA,12.9,13.4,13.9,15.6,18.1,18.4,18.6,18.9,19.2,19.5
Saint Kitts and Nevis,KNA,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3
Saint Lucia,LCA,35.7,35.2,34.8,34.3,33.8,33.7,33.6,33.5,33.4,33.3
Saint Vincent and the Grenadines,VCT,64.1,65.4,66.7,66.7,69.2,69.2,69.2,69.2,69.2,69.2
Samoa,WSM,45.9,53.2,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4
San Marino,SMR,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,STP,58.3,58.3,58.3,58.3,55.8,55.8,55.8,55.8,55.8,55.8
Saudi Arabia,SAU,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Senegal,SEN,48.6,47.4,46.2,45,44,43.8,43.6,43.4,43.2,43
Serbia,SRB,28.3,28.3,28.3,28.3,31,31,31.1,31.1,31.1,31.1
Seychelles,SYC,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4
Sierra Leone,SLE,43.2,41.8,40.5,39.1,37.8,38.6,39.5,40.4,41.3,42.2
Singapore,SGP,24.4,24.4,24.4,23.7,23.3,23.2,23.2,23.1,23.1,23.1
Slovakia,SVK,40,39.9,39.9,40.2,40.3,40.3,40.3,40.3,40.3,40.3
Slovenia,SVN,59,60.1,61.2,61.7,61.9,61.9,61.9,61.9,62,62
Solomon Islands,SLB,83,82,81,80.1,79.1,78.9,78.7,78.5,78.3,78.1
Somalia,SOM,13.2,12.6,12,11.4,10.8,10.6,10.5,10.4,10.3,10.1
South Africa,ZAF,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6
Spain,ESP,27.6,30.8,34,34.6,36.5,36.6,36.6,36.7,36.8,36.8
Sri Lanka,LKA,36.4,35.7,35,33.8,33.5,33.4,33.3,33.2,33.1,33
Sudan,SDN,12.9,12.6,12.2,11.8,11.5,8.4,8.3,8.2,8.2,8.1
Suriname,SUR,98.9,98.8,98.7,98.5,98.4,98.4,98.4,98.3,98.3,98.3
